Nload,Soil moisture,Grain unit,NSWRM cost,linE,hedge_share_con,buffer_share_con,grassslope_share_con,notill_share_con,lu_share,hedge_moran,buffer_moran,grassslope_moran,notill_moran,buffer_channel_frac,grassslope_channel_frac,notill_channel_frac
-5511.204,13.2986,18613.987,0,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5511.204,13.3054,18607.565,-6000.150728,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5507.404,13.2986,18613.987,-884.1972236,0,1,0.524220957,0,0,1,0,0.469287601,0,0.005712662,0.012497599,0,0
-5511.204,13.3068,18608.562,-8487.418469,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5511.204,13.3,18614.985,-2487.267741,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5497.904,13.3496,18380.656,-83768.94938,0,0,0,0,0.276746238,0,1,0.992162991,0,0.357406071,0,0,0.002742822
-5511.204,13.302,18618.375,-8035.480721,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5510.204,13.3138,18578.693,-18644.38572,0,0,0,0,0.055698932,0,1,0.992162991,0,0.336478125,0,0,0.013628013
-5511.204,13.307,18610.954,-11548.36371,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5511.204,13.3022,18614.918,-4202.255735,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5513.804,13.329,18545.941,-29405.79939,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5510.904,13.3072,18613.507,-12322.86271,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5511.104,13.306,18612.584,-11236.95921,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5511.104,13.3208,18623.893,-28089.5082,0,0,0,0,0.055698932,0,1,0.992162991,0,0.336478125,0,0,0.013628013
-5510.904,13.3022,18614.918,-4280.35754,0,0,0,0,0.055698932,0,1,0.992162991,0,0.336478125,0,0,0.013628013
-5510.904,13.309,18614.658,-15219.62469,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5496.804,13.334,18479.289,-36990.88082,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5509.204,13.3902,18546.799,-128710.5485,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5490.804,13.321,18498.535,-29631.83287,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5527.804,13.3048,18623.692,-11305.50021,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5527.804,13.312,18615.303,-21018.85217,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5490.804,13.3142,18504.958,-23631.68215,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5492.804,13.34,18449.74,-57477.07877,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5509.804,13.3536,18449.145,-75065.71203,0,0,0,0,0.055698932,0,1,0.992162991,0,0.336478125,0,0,0.013628013
-5530.204,13.307,18601.216,-9100.963027,0,0,0,0,0.215709382,0,1,0.992162991,0,0.350962337,0,0,0
-5510.204,13.3072,18585.115,-12644.23499,0,0,0,0,0.055698932,0,1,0.992162991,0,0.336478125,0,0,0.013628013
-5444.504,13.346,18577.072,-85338.31594,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5458.504,13.3332,18579.223,-52555.95106,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5529.404,13.3498,18510.483,-74253.41907,0,0,0,0,0.215212801,0,1,0.992162991,0,0.387391252,0,0,1
-5463.504,13.3652,18285.836,-98728.94706,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5491.504,13.3284,18497.947,-43259.71907,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5510.204,13.3112,18576.324,-15779.30373,0,0,0,0,0.055698932,0,1,0.992162991,0,0.336478125,0,0,0.013628013
-5506.504,13.3352,18619.219,-53600.13981,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5494.104,13.3106,18546.541,-18683.90539,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5443.504,13.3804,18561.691,-127809.753,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5507.104,13.386,18550.458,-134947.5706,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5416.204,13.426,18520.302,-189878.8148,0,0,0.02210406,0,0,1,1,0.993266239,0,0.005712662,1,0,0
-5396.404,13.42,18436.936,-192079.8007,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5478.904,13.2956,18466.82,-17299.53425,0,0,0,0,0.453786002,0,1,0.992162991,0,0.419942651,0,0,0.000111085
-5493.004,13.3036,18552.961,-12683.75466,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5493.704,13.3068,18553.075,-19977.92613,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5509.404,13.3012,18617.607,-8567.812076,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5493.104,13.3096,18548.55,-16769.84765,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5408.404,13.4212,18542.99,-249104.1841,0,0,0.02210406,0,0,1,1,0.993266239,0,0.005712662,1,0,0
-5448.904,13.309,18435.595,-32739.18987,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
